CASE_ID,GPS_NAC_ADOPTER,SURVEY_SOURCE,STATE,HOME,HAVESOLAR,PROMPT1,PROMPT2,PROMPT3,PROMPT4,PROMPT5,PROMPT6,PROMPT7,PROMPT8,PROMPT9,PROMPT10,PROMPT11,PROMPT12,PROMPT13,PROMPT14,PROMPT15,PROMPT_HOME1,PROMPT_HOME2,PROMPT_HOME3,PROMPT_HOME4,PROMPT_HOME5,INSTALL_YR_BINNED,TIME_AtoB_FRAME,TIME_AtoB_NUM_TEXT_CLND,TIME_BtoC_FRAME,TIME_BtoC_NUM_TEXT_CLND,TIME_CONSIDERED,INST_TALKEDTO,FNDONLYINST1,FNDONLYINST2,FNDONLYINST3,FNDONLYINST4,FNDONLYINST5,FNDONLYINST6,FNDONLYINST7,FNDONLYINST8,FNDONLYINST9,FNDONLYINST10,FNDONLYINST_REC1,FNDONLYINST_REC2,FNDONLYINST_REC3,FNDONLYINST_REC4,FNDONLYINST_REC5,FNDONLYINST_WHO1,FNDONLYINST_WHO2,FNDONLYINST_WHO3,FNDONLYINST_WHO4,FNDONLYINST_WHO5,FNDBESTINST1,FNDBESTINST2,FNDBESTINST3,FNDBESTINST4,FNDBESTINST5,FNDBESTINST6,FNDBESTINST7,FNDBESTINST8,FNDBESTINST9,FNDBESTINST10,FNDBESTINST_REC1,FNDBESTINST_REC2,FNDBESTINST_REC3,FNDBESTINST_REC4,FNDBESTINST_REC5,FNDBESTINST_WHO1,FNDBESTINST_WHO2,FNDBESTINST_WHO3,FNDBESTINST_WHO4,FNDBESTINST_WHO5,FNDNOTINST1,FNDNOTINST2,FNDNOTINST3,FNDNOTINST4,FNDNOTINST5,FNDNOTINST6,FNDNOTINST7,FNDNOTINST8,FNDNOTINST9,FNDNOTINST10,FNDNOTINST_REC1,FNDNOTINST_REC2,FNDNOTINST_REC3,FNDNOTINST_REC4,FNDNOTINST_REC5,FNDNOTINST_WHO1,FNDNOTINST_WHO2,FNDNOTINST_WHO3,FNDNOTINST_WHO4,FNDNOTINST_WHO5,INST_QOTE_BUY_TEXT_CLND,INST_QOTE_LSE_TEXT_CLND,MOTIVE1,MOTIVE2,MOTIVE3,MOTIVE4,MOTIVE5,MOTIVE6,MOTIVE7,MOTIVE8,MOTIVE9,INFLNC_FIRST,INFLNC_SAW,INFLNC_PPLTALK,INFLNC_ADS,INFLNC_OTHKNEW,INFLNC_OTHKNEW_NUM,INFLNC_OTH_MULT1,INFLNC_OTH_MULT2,INFLNC_OTH_MULT3,INFLNC_OTH_MULT4,INFLNC_OTH_MULT5,INFLNC_OTH_MULT6,INFLNC_OTH_MULT7,INFLNC_OTH_ONE1,INFLNC_OTH_ONE2,INFLNC_OTH_ONE3,INFLNC_OTH_ONE4,INFLNC_OTH_ONE5,INFLNC_OTH_ONE6,DIFFICULTY1,DIFFICULTY2,DIFFICULTY3,DIFFICULTY4,DIFFICULTY5,DIFFICULTY6,CONCERN1,CONCERN2,CONCERN3,CONCERN4,CONCERN5,CONCERN6,CONCERN7,CONCERN8,CONCERN9,NPS_PANELS,NPS_INSTALLER,EXPERIENCE1,EXPERIENCE2,EXPERIENCE3,EXPERIENCE4,EXPERIENCE5,EXPERIENCE6,REGRETS,TOLD_OTHERS,TOLD_OTHERS_NUM,TOLD_OTHERS_LOCAL,ACTIVITY1,ACTIVITY2,ACTIVITY3,ACTIVITY4,ACTIVITY5,REFERRAL_NUM,REFERRAL_WHEN1,REFERRAL_WHEN2,REFERRAL_WHEN3,REFERRAL_WHEN4,SIZE_PANELS_BINNED,SIZE_KW_BINNED,BUY_LEASE,LOAN,OPTION_TO_LEASE,WHY_BUY1,WHY_BUY2,WHY_BUY3,WHY_BUY4,WHY_BUY5,WHY_BUY6,WHY_BUY7,LEASE_TYPE,OPTION_TO_BUY,WHY_LEASE1,WHY_LEASE2,WHY_LEASE3,WHY_LEASE4,WHY_LEASE5,WHY_LEASE6,WHY_LEASE7,ECONEVAL,ECONEVAL_SVG_PERIOD,ECONEVAL_SVGS_CLND,ECONEVAL_SVGS_ACTUAL,ECONEVAL_PYBK,ECONEVAL_PYBK_YRS_CLND,ECONEVAL_PYBK_ACTUAL,ECONEVAL_ROR,ECONEVAL_ROR_PCT_CLND,ECONEVAL_ROR_ACTUAL,WINTER_NOPV_BINNED,WINTER_PV_BINNED,SUMMER_NOPV_BINNED,SUMMER_PV_BINNED,PN1,PN2,PN3,E2,BB1,BB2,BB3,BTE8,BE13,BE10,Co3,VB1,VB2,VB3,VA1,VA2,VA3,VT1,VT2,VT3,VE1,VE2,VE4,VO1,VO2,VO3,RISK_AVERSION_CLND,DISCOUNTING_CLND,CIJM1,CIJM2,CIJM3,CNS1,CNS2,CNS4,HOME_MOVED_SINCE2009,SQFT_BINNED,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,HMYRS_1,HMYRS_1_CLEANED,HAS_POOL,HAS_AC,STANCE,PEOPLE_TOT_3PLUS,HAVE_KIDS,GENDER,AGE_BINNED,EDUC_BINNED,FINANCIAL,INCOME_BINNED,RETIRED,RETIRED_LAST5YRS,RETIRE_WHEN,RETIRE_WHEN_BINNED
1643,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,3,2,1,2,3,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,5,5,5,5,5,5,5,5,2,3,3,4,0,,,,,,,,,,,,,,,1,4,2,1,1,2,1,1,1,1,5,1,5,2,4,11,11,5,2,98,5,3,5,0,1,1,1,4,4,4,4,4,0,,,,,2,,99,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,6,5,5,,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,2,3,2,5,5,4,50,15000,4,3,3,2,3,2,0,1,0,1,1,0,0,0,0,0,2,5,0,0,3,0,0,1,4,4,1,2,1,0,,
1644,3,2,4,,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,,,,,,2,1,2,2,4,6,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,5,5,5,5,5,5,2,5,5,2,1,4,3,1,1,3,3,3,1,,,,,,,1,1,1,1,1,1,4,4,4,4,4,4,4,5,4,11,11,5,5,5,5,5,5,0,1,98,98,4,4,4,4,4,2,0,1,1,0,3,,2,,,,,,,,,,2,1,3,1,3,2,3,1,2,1,1,100,1,,,,,,,4,1,9,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2,5,5,5,0,,4,4,5,2,2,5,0,2,1,1,1,1,0,1,1,0,3,,0,1,5,1,0,0,3,2,2,2,1,1,,
1645,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,15,2,6,6,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,2,1,5,4,4,5,5,5,5,5,3,2,4,3,4,0,,,,,,,,,,,,,,,1,2,3,1,3,3,4,4,4,4,4,5,5,3,2,11,11,5,2,5,5,3,5,0,1,2,2,3,4,4,3,4,3,0,0,1,0,1,1,2,,,,,,,,,,2,0,,,,,,,,1,1,30,94,,,,,,,4,2,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,4,3,4,4,4,4,4,10,20000,3,4,3,4,4,5,0,2,1,1,1,1,1,1,1,0,3,,0,1,2,1,1,0,4,3,1,95,1,0,,
1646,3,2,4,,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,,2,,4,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,2,1,5,5,1,5,4,3,5,4,1,2,4,2,3,0,,,,,,,,,,,,,,,1,2,4,1,1,2,1,2,2,2,1,1,1,2,2,11,11,5,4,5,3,4,5,0,1,4,4,3,4,4,3,4,10,1,0,1,0,2,,2,,,,,,,,,,2,0,,,,,,,,1,1,50,3,,,,,,,7,5,9,5,4,4,4,5,5,4,4,5,4,5,5,3,3,3,5,4,5,5,4,5,3,2,2,3,3,3,5,10000,3,3,3,4,4,3,0,2,1,1,1,1,1,1,1,0,3,,0,1,4,0,0,0,4,2,1,1,1,1,,
1647,3,2,1,,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,2,3,2,3,2,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,5,3,3,5,4,5,4,2,4,3,2,3,0,,,,,,,,,,,,,,,2,2,1,1,1,2,4,4,3,3,5,3,2,2,1,11,11,5,5,3,4,4,4,0,1,5,4,3,3,3,2,4,5,0,1,0,0,4,3,1,1,1,,,,,,,,,,,,,,,,,2,,,,1,7.5,4,,,,7,1,11,1,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,2,4,3,4,4,5,1,6000,4,4,3,2,2,1,1,4,1,1,1,0,1,1,1,0,3,,,1,3,1,1,0,1,4,1,5,0,,98,
1648,3,2,3,,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,,,,,,1,2,2,2,1,4,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,4,4,4,4,4,2,2,1,4,3,2,3,0,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,3,1,3,1,2,1,1,11,11,5,4,5,4,3,5,0,1,3,1,4,3,3,3,3,0,,,,,4,2,1,1,1,,,,,,,,,,,,,,,,,2,,,,1,7,2,,,,8,3,11,7,2,1,2,1,2,1,1,5,5,5,5,2,2,2,2,1,4,5,5,3,2,4,1,2,3,4,0,5400,3,2,3,3,3,2,0,4,1,1,1,1,0,1,0,0,1,,1,1,90,1,1,0,3,4,1,95,0,,2,
1649,3,2,4,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,2,6,1,60,6,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,6,0,5,4,3,5,4,4,4,3,3,3,5,5,5,1,4,3,1,1,1,3,3,98,,,,,,,3,1,4,2,1,1,2,2,3,3,3,4,3,1,1,10,10,4,4,4,4,3,5,0,1,4,2,3,4,3,3,4,7,0,0,1,0,4,2,1,1,3,1,1,3,2,3,1,1,,,,,,,,,,1,1,200,2,,,,,,,7,1,11,1,4,3,3,3,3,3,4,5,5,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,4,20,10000,4,4,3,2,3,3,0,3,1,1,1,1,0,0,0,0,98,,0,1,3,1,1,99,2,2,1,4,0,,1,2
1650,3,2,3,,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,3,2,1,99,2,5,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,3,3,5,3,1,4,5,5,5,5,1,1,2,1,3,1,2,3,99,2,3,3,1,1,,,,,,,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,11,11,5,4,5,3,3,5,0,1,2,2,3,3,3,3,3,1,0,1,0,0,3,,1,0,3,1,1,3,1,1,1,1,,,,,,,,,,2,,,,1,8,2,,,,3,1,7,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,100,5100,5,5,4,3,3,5,1,2,1,1,1,0,0,0,0,0,3,,0,1,2,0,0,0,4,3,1,2,1,0,,
1651,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,2,1,3,2,2,3,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,4,4,4,4,4,1,2,4,5,3,1,1,,,,,,,,1,0,1,0,1,1,1,1,2,3,2,4,2,2,3,1,3,2,2,2,1,11,6,4,4,4,4,4,4,0,1,2,1,2,4,4,4,4,0,,,,,2,1,1,0,1,,,,,,,,,,,,,,,,,1,1,100,1,,,,,,,3,1,8,1,4,4,3,4,4,4,4,4,4,4,4,4,2,1,2,3,5,3,4,5,3,4,4,5,4,4,1000,5300,3,3,3,3,2,2,0,2,1,1,1,0,0,0,1,0,98,,0,1,97,0,0,0,2,2,1,4,0,,98,
1652,3,2,2,,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,3,2,,2,,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,3,4,4,4,4,4,3,3,2,3,3,3,1,1,,,,,,,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,9,8,4,4,4,4,4,4,0,1,2,1,3,3,3,3,3,2,0,1,0,0,1,,2,,,,,,,,,,2,0,,,,,,,,1,1,60,3,,,,,,,5,4,6,,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,50000,3,3,3,4,3,3,0,1,0,1,1,1,0,0,0,0,3,,0,1,97,0,0,1,2,1,4,99,0,,1,1
1653,3,2,3,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,1,15,2,3,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,2,1,5,4,4,5,4,2,3,3,4,1,4,2,3,0,,,,,,,,,,,,,,,3,1,1,1,1,1,3,5,1,1,2,2,3,1,1,11,11,5,5,98,5,4,98,0,1,4,3,3,2,4,2,4,10,0,0,1,0,4,2,1,1,3,1,2,3,2,3,1,1,,,,,,,,,,1,1,79,1,,,,,,,5,1,10,1,5,5,1,3,5,2,5,98,98,98,98,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,10,20000,3,2,3,2,2,3,0,4,0,0,1,1,1,0,0,0,98,,1,1,4,0,0,0,3,4,2,1,1,1,,
1654,3,2,4,,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,,,,,,3,1,14,2,2,6,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,1,3,4,3,3,4,2,2,3,2,1,3,4,4,4,1,2,2,1,1,3,2,1,1,,,,,,,1,1,3,1,1,1,2,4,4,3,3,3,3,2,2,6,6,4,2,4,4,3,5,1,1,1,1,3,4,4,3,4,1,1,0,0,0,,,2,,,,,,,,,,2,0,,,,,,,,1,98,,94,,,,,,,3,3,4,5,3,4,3,4,4,3,3,4,2,3,3,5,5,3,5,4,5,5,5,3,2,2,3,3,3,3,1,5500,2,2,3,2,2,3,0,3,0,1,1,0,0,0,0,0,2,10,0,1,3,0,0,0,3,2,1,4,0,,1,3
1655,3,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,3,2,1,2,6,6,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,1,3,3,2,2,1,2,2,2,4,1,2,0,,,,,,,,,,,,,,,1,3,1,1,1,2,1,2,2,1,2,2,2,2,2,6,11,5,5,5,5,98,5,1,0,,,4,4,4,3,4,0,,,,,3,,2,,,,,,,,,,2,0,,,,,,,,4,,,,,,,,,,3,3,4,5,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,1,2,4,5,4,1,2,3,4,2,2,100,6000,4,3,4,3,3,3,0,3,1,1,0,0,1,1,1,0,3,,0,1,4,0,0,0,4,,1,2,1,,,
1656,3,2,4,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,3,1,15,1,45,6,3,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,1,2,99,99,3,1,3,2,3,,,,,,,5,1,5,5,3,2,5,5,5,5,5,5,5,1,1,11,11,5,5,5,3,3,5,0,1,3,0,4,4,4,3,4,5,0,1,0,0,2,,2,,,,,,,,,,2,1,3,1,3,3,3,3,1,1,1,25,1,,,,,,,7,2,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,2,4,4,4,4,25,10000,2,3,3,4,4,4,0,2,1,1,1,1,1,1,1,0,3,,0,1,3,1,0,0,,2,2,4,1,0,,
1657,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,7,2,8,1,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,5,5,5,1,1,1,1,1,4,4,1,4,0,,,,,,,,,,,,,,,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,11,11,5,3,5,5,5,5,0,0,,,3,3,3,3,4,0,,,,,2,1,2,,,,,,,,,,2,0,,,,,,,,1,1,50,2,,,,,,,3,2,4,,1,1,2,1,1,1,3,5,5,5,5,3,3,1,5,5,5,5,5,5,1,5,3,3,3,5,10,10000,3,3,3,1,2,3,0,2,0,1,1,0,0,1,0,0,3,,0,1,5,0,0,0,3,3,3,1,0,,1,2
1658,3,2,4,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,3,2,2,2,3,6,5,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,1,1,0,0,,,,,,,,,,,4,9,5,5,1,5,1,1,1,1,1,3,2,1,4,0,,,,,,,,,,,,,,,1,1,4,1,2,3,1,3,4,1,5,5,4,2,1,9,11,5,5,5,3,98,98,0,1,3,2,4,4,4,2,3,3,0,0,0,1,4,3,1,0,3,1,2,3,3,3,1,3,,,,,,,,,,2,,,,1,7,2,,,,8,1,9,1,3,3,1,3,3,3,3,4,3,5,3,1,1,1,3,5,4,5,4,4,3,4,1,3,3,3,0,6000,5,5,3,1,1,2,1,4,1,0,1,1,1,0,1,0,98,,1,1,4,1,1,0,2,4,1,5,0,,2,
1659,3,2,4,,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,2,1,,1,,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,2,0,5,4,4,5,4,4,4,4,4,2,4,4,4,1,3,2,1,2,3,2,2,2,,,,,,,1,1,1,1,1,2,4,4,4,4,4,3,3,2,1,11,11,5,5,5,4,98,5,0,1,2,1,4,4,4,4,4,2,0,1,0,0,1,,1,1,1,,,,,,,,,,,,,,,,,1,1,200,2,,,,,,,7,2,7,1,4,4,4,4,4,4,5,5,4,5,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,5,10000,3,3,3,3,3,4,0,4,0,1,1,1,0,0,0,0,98,,0,0,4,0,0,1,3,3,2,5,0,,98,
1660,3,2,4,,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,3,2,1,2,3,1,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,2,1,4,4,4,4,4,1,3,1,1,2,3,2,4,1,3,2,1,1,2,2,1,1,,,,,,,2,1,3,1,1,1,4,4,3,4,4,4,4,1,3,9,9,4,3,3,3,3,4,0,1,2,1,3,4,3,4,4,1,0,0,1,0,2,2,1,0,3,1,2,3,3,3,1,3,,,,,,,,,,2,,,,1,9,94,,,,,,,,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,3,3,3,100,5400,2,3,2,1,1,2,0,3,0,0,1,1,0,0,0,0,2,15,0,0,3,0,0,0,,4,1,5,0,,1,4
1661,3,2,4,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,2,1,0,2,3,7,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,98,5,5,5,5,5,1,1,2,2,2,4,0,,,,,,,,,,,,,,,1,1,1,1,1,2,5,5,1,1,5,1,4,1,1,11,11,5,5,5,98,98,5,0,1,6,3,3,2,2,3,4,20,0,0,1,0,1,,99,,,,,,,,,,,,,,,,,,,1,1,100,1,,,,,,,7,2,8,3,4,98,2,4,5,98,5,5,98,5,5,4,3,5,3,4,0,4,0,3,1,2,2,5,4,4,0,25000,4,1,4,4,4,1,0,2,1,1,1,1,0,0,0,0,2,10,0,1,97,0,0,1,2,3,1,3,0,,1,3
1662,3,2,4,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,3,1,0,2,4,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,2,1,5,1,1,5,4,4,2,2,1,3,2,2,4,1,1,,,,,,,,1,0,1,1,1,1,1,5,3,3,5,5,4,5,5,3,4,5,4,1,1,11,11,5,3,5,5,98,5,0,1,4,4,3,3,3,3,4,5,0,0,1,0,2,,99,,,,,,,,,,,,,,,,,,,1,1,200,1,,,,,,,6,1,11,2,4,98,3,98,4,98,4,5,5,5,5,3,4,3,5,4,5,5,5,3,2,5,2,4,5,4,100,15000,5,4,3,3,4,4,0,,1,1,1,1,0,0,0,0,3,,1,1,3,1,0,0,3,2,1,5,0,,1,2
1663,3,2,4,,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,3,2,5,2,2,6,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,3,0,5,5,4,5,4,4,4,1,3,2,4,3,4,0,,,,,,,,,,,,,,,3,3,3,1,1,1,3,5,4,1,5,4,3,1,1,11,11,5,4,5,98,98,5,0,1,3,2,3,4,4,3,4,1,0,0,1,0,3,2,1,0,3,2,1,3,2,3,1,2,,,,,,,,,,1,1,250,3,,,,,,,7,3,10,3,3,3,4,3,5,3,5,5,5,5,5,3,4,3,3,3,4,5,5,5,3,3,3,4,3,4,0,50000,3,3,3,4,3,4,1,4,0,0,0,0,0,0,0,1,3,,1,1,5,0,0,0,4,,2,1,1,0,,
1664,3,2,4,,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,3,1,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,1,5,98,2,5,4,4,4,4,1,2,4,2,4,0,,,,,,,,,,,,,,,1,1,1,1,3,1,5,4,4,4,2,3,2,2,2,10,10,5,5,5,5,98,5,0,1,2,2,4,4,4,4,4,3,1,1,0,0,3,,2,,,,,,,,,,1,0,,,,,,,,1,1,70,2,,,,,,,7,5,6,,4,4,5,4,4,98,4,4,3,4,3,4,4,3,4,4,4,5,5,4,2,3,1,3,3,3,20,25000,2,2,3,2,3,4,0,3,0,0,1,1,0,0,0,0,98,,0,1,97,1,0,1,,2,2,3,0,,1,4
1665,3,2,4,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,3,2,,2,,6,5,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,1,0,0,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,4,1,4,3,3,4,5,3,3,4,1,2,2,2,4,0,,,,,,,,,,,,,,,5,3,3,3,5,5,5,5,5,5,5,5,5,1,1,11,11,5,5,5,3,3,5,0,1,4,4,4,4,4,3,4,10,0,0,1,0,1,,2,,,,,,,,,,2,0,,,,,,,,1,1,70,1,,,,,,,6,1,5,1,4,3,3,2,4,3,4,4,5,5,5,4,2,3,3,4,2,4,4,3,3,3,1,3,3,3,0,0,4,3,3,3,3,3,0,1,1,1,1,1,0,0,0,0,2,10,0,1,90,0,0,0,3,2,2,95,0,,1,3
1666,3,2,4,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,3,1,3,2,1,6,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,0,1,1,0,1,0,0,,,,,,,,,,,2,1,5,5,4,5,5,5,5,1,1,2,2,2,2,0,,,,,,,,,,,,,,,1,1,3,3,1,1,5,4,1,5,5,5,1,1,1,11,11,5,5,5,5,3,5,0,1,3,3,3,3,3,3,3,6,0,1,0,0,4,3,2,,,,,,,,,,2,0,,,,,,,,1,2,1500,2,,,,,,,7,4,11,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,5,3,2,2,2,3,3,4,100,7500,2,2,2,4,2,2,0,1,1,1,1,0,0,0,1,0,2,15,0,1,97,1,1,0,2,2,1,3,0,,98,
1667,3,2,2,,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,,,,,,3,1,7,2,9,2,2,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,1,5,2,4,4,4,4,4,4,1,1,4,4,2,1,3,3,1,2,3,2,1,2,,,,,,,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,6,11,5,2,5,3,3,5,0,1,2,2,4,4,4,4,4,4,0,1,0,0,3,,2,,,,,,,,,,2,0,,,,,,,,1,98,,5,,,,,,,7,7,10,7,4,4,4,4,4,4,4,4,3,2,4,4,4,3,5,4,5,5,5,4,3,3,3,4,3,4,0,10000,2,2,3,2,2,3,0,1,1,0,0,1,1,0,0,0,3,,0,1,97,1,1,1,4,1,2,95,1,1,,
1668,3,2,4,,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,,,,,,2,1,7,2,2,5,2,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,2,2,5,5,5,4,3,3,3,4,5,2,4,2,4,1,1,,,,,,,,1,0,1,0,1,1,1,1,1,1,1,1,5,1,5,5,4,4,2,5,1,11,11,5,3,5,5,5,5,0,1,4,4,2,2,3,3,4,2,0,0,1,0,4,,1,1,1,,,,,,,,,,,,,,,,,1,2,3600,2,,,,,,,8,4,11,7,3,4,2,5,4,3,4,5,5,5,4,4,3,3,4,4,4,5,5,5,5,5,5,4,5,4,10,25000,4,5,5,3,3,3,1,4,0,1,1,0,0,0,0,0,2,5.5,1,1,4,1,1,0,1,4,1,5,1,1,,
